label,rt,acc,sub,session,run
-1.0,1.3168127536773682,0.0,1.0,1.0,2.0
-1.0,1.389111042022705,1.0,1.0,1.0,2.0
-1.0,1.4534363746643066,0.0,1.0,1.0,2.0
1.0,1.446096658706665,1.0,1.0,1.0,2.0
1.0,1.6223905086517334,1.0,1.0,1.0,2.0
-1.0,1.4789025783538818,1.0,1.0,1.0,2.0
1.0,1.4632036685943604,1.0,1.0,1.0,2.0
1.0,1.479468584060669,1.0,1.0,1.0,2.0
1.0,1.536123514175415,1.0,1.0,1.0,2.0
1.0,1.4164667129516602,1.0,1.0,1.0,2.0
-1.0,1.3369431495666504,1.0,1.0,1.0,2.0
1.0,1.3292253017425537,1.0,1.0,1.0,2.0
1.0,0.0,0.0,1.0,1.0,2.0
-1.0,1.314269781112671,0.0,1.0,1.0,2.0
1.0,1.3465096950531006,1.0,1.0,1.0,2.0
1.0,1.4109790325164795,1.0,1.0,1.0,2.0
1.0,1.827183485031128,1.0,1.0,1.0,2.0
-1.0,1.4275627136230469,1.0,1.0,1.0,2.0
-1.0,1.2922964096069336,1.0,1.0,1.0,2.0
-1.0,1.3565564155578613,1.0,1.0,1.0,2.0
1.0,1.3329129219055176,1.0,1.0,1.0,2.0
-1.0,1.3572795391082764,1.0,1.0,1.0,2.0
-1.0,1.3175833225250244,1.0,1.0,1.0,2.0
-1.0,1.2702586650848389,1.0,1.0,1.0,2.0
1.0,1.4146418571472168,1.0,1.0,1.0,2.0
1.0,1.302969217300415,1.0,1.0,1.0,2.0
1.0,1.3592770099639893,1.0,1.0,1.0,2.0
-1.0,1.6316475868225098,1.0,1.0,1.0,2.0
1.0,1.3397409915924072,1.0,1.0,1.0,3.0
1.0,1.3480002880096436,1.0,1.0,1.0,3.0
1.0,1.3883233070373535,1.0,1.0,1.0,3.0
-1.0,1.3886456489562988,1.0,1.0,1.0,3.0
1.0,1.3969898223876953,1.0,1.0,1.0,3.0
1.0,1.405707836151123,1.0,1.0,1.0,3.0
1.0,1.5659852027893066,1.0,1.0,1.0,3.0
1.0,1.5263705253601074,1.0,1.0,1.0,3.0
-1.0,1.3827617168426514,0.0,1.0,1.0,3.0
-1.0,1.6470379829406738,1.0,1.0,1.0,3.0
-1.0,1.3677160739898682,1.0,1.0,1.0,3.0
-1.0,1.4960715770721436,1.0,1.0,1.0,3.0
-1.0,1.2964179515838623,0.0,1.0,1.0,3.0
-1.0,1.4248754978179932,1.0,1.0,1.0,3.0
1.0,1.4411356449127197,0.0,1.0,1.0,3.0
-1.0,1.4017653465270996,1.0,1.0,1.0,3.0
1.0,1.4901037216186523,0.0,1.0,1.0,3.0
1.0,1.498427391052246,1.0,1.0,1.0,3.0
-1.0,1.72285795211792,1.0,1.0,1.0,3.0
-1.0,1.4271204471588135,1.0,1.0,1.0,3.0
1.0,1.387765645980835,1.0,1.0,1.0,3.0
1.0,1.3562703132629395,1.0,1.0,1.0,3.0
-1.0,1.3406164646148682,1.0,1.0,1.0,3.0
1.0,1.3729264736175537,1.0,1.0,1.0,3.0
1.0,1.4451687335968018,1.0,1.0,1.0,3.0
-1.0,1.4938971996307373,1.0,1.0,1.0,3.0
-1.0,1.4302043914794922,1.0,1.0,1.0,3.0
1.0,1.5259506702423096,1.0,1.0,1.0,3.0
1.0,1.3341803550720215,1.0,1.0,1.0,3.0
1.0,1.3424937725067139,1.0,1.0,1.0,3.0
-1.0,1.3672397136688232,1.0,1.0,1.0,3.0
