label,rt,acc,sub,session,run
1.0,2.403064012527466,1.0,1.0,1.0,1.0
-1.0,2.3775558471679688,1.0,1.0,1.0,1.0
-1.0,2.3568789958953857,1.0,1.0,1.0,1.0
1.0,2.3657000064849854,0.0,1.0,1.0,1.0
1.0,2.4061660766601562,1.0,1.0,1.0,1.0
1.0,2.4924349784851074,1.0,1.0,1.0,1.0
1.0,2.4471750259399414,1.0,1.0,1.0,1.0
1.0,2.387969970703125,0.0,1.0,1.0,1.0
1.0,2.3650710582733154,0.0,1.0,1.0,1.0
1.0,2.396130084991455,1.0,1.0,1.0,1.0
1.0,2.4464118480682373,0.0,1.0,1.0,1.0
1.0,2.261681079864502,0.0,1.0,1.0,1.0
-1.0,2.59553599357605,1.0,1.0,1.0,1.0
1.0,2.5037729740142822,0.0,1.0,1.0,1.0
-1.0,2.442168951034546,1.0,1.0,1.0,1.0
-1.0,2.7981929779052734,1.0,1.0,1.0,1.0
1.0,2.692183017730713,0.0,1.0,1.0,1.0
-1.0,2.371316909790039,1.0,1.0,1.0,2.0
1.0,2.5887060165405273,1.0,1.0,1.0,2.0
-1.0,2.2736639976501465,1.0,1.0,1.0,2.0
-1.0,2.567317008972168,1.0,1.0,1.0,2.0
-1.0,2.468885898590088,1.0,1.0,1.0,2.0
-1.0,2.513471841812134,0.0,1.0,1.0,2.0
1.0,2.4754562377929688,1.0,1.0,1.0,2.0
1.0,2.124480962753296,0.0,1.0,1.0,2.0
1.0,2.4968440532684326,1.0,1.0,1.0,2.0
-1.0,2.4127449989318848,1.0,1.0,1.0,2.0
-1.0,2.3292860984802246,1.0,1.0,1.0,2.0
1.0,2.4617340564727783,1.0,1.0,1.0,2.0
1.0,2.633073091506958,1.0,1.0,1.0,2.0
-1.0,2.6333940029144287,1.0,1.0,1.0,2.0
1.0,2.3787078857421875,1.0,1.0,1.0,2.0
1.0,2.40032696723938,1.0,1.0,1.0,2.0
1.0,2.4502270221710205,1.0,1.0,1.0,2.0
-1.0,2.4200479984283447,1.0,1.0,1.0,2.0
-1.0,2.386366844177246,1.0,1.0,1.0,2.0
-1.0,2.320734977722168,1.0,1.0,1.0,2.0
